sourceName,objectType,system,layer,baseName,side,suffix,paren,proposedAnatomyId,polyCount,include
Anterior sacro-iliac ligament.l,MESH,Joints,joint,Anterior sacro-iliac ligament,left,l,,joint.anteriorSacroIliacLigament,28,
Anterior sacro-iliac ligament.r,MESH,Joints,joint,Anterior sacro-iliac ligament,right,r,,joint.anteriorSacroIliacLigament,28,
Anterior sternoclavicular ligament.l,MESH,Joints,joint,Anterior sternoclavicular ligament,left,l,,joint.anteriorSternoclavicularLigament,4,
Anterior sternoclavicular ligament.r,MESH,Joints,joint,Anterior sternoclavicular ligament,right,r,,joint.anteriorSternoclavicularLigament,4,
Anterior talocalcaneal ligament.l,MESH,Joints,joint,Anterior talocalcaneal ligament,left,l,,joint.anteriorTalocalcanealLigament,4,
Anterior talocalcaneal ligament.r,MESH,Joints,joint,Anterior talocalcaneal ligament,right,r,,joint.anteriorTalocalcanealLigament,4,
Anterior talofibular ligament.l,MESH,Joints,joint,Anterior talofibular ligament,left,l,,joint.anteriorTalofibularLigament,1,
Anterior talofibular ligament.r,MESH,Joints,joint,Anterior talofibular ligament,right,r,,joint.anteriorTalofibularLigament,1,
Anterior tibiofibular ligament.l,MESH,Joints,joint,Anterior tibiofibular ligament,left,l,,joint.anteriorTibiofibularLigament,12,
Anterior tibiofibular ligament.r,MESH,Joints,joint,Anterior tibiofibular ligament,right,r,,joint.anteriorTibiofibularLigament,12,
Arcuate popliteal ligament.l,MESH,Joints,joint,Arcuate popliteal ligament,left,l,,joint.arcuatePoplitealLigament,17,
Arcuate popliteal ligament.r,MESH,Joints,joint,Arcuate popliteal ligament,right,r,,joint.arcuatePoplitealLigament,17,
Articular capsule of acromioclavicular joint.l,MESH,Joints,joint,Articular capsule of acromioclavicular joint,left,l,,joint.articularCapsuleOfAcromioclavicular,16,
Articular capsule of acromioclavicular joint.r,MESH,Joints,joint,Articular capsule of acromioclavicular joint,right,r,,joint.articularCapsuleOfAcromioclavicular,16,
Articular capsule of elbow joint.l,MESH,Joints,joint,Articular capsule of elbow joint,left,l,,joint.articularCapsuleOfElbow,388,
Articular capsule of elbow joint.r,MESH,Joints,joint,Articular capsule of elbow joint,right,r,,joint.articularCapsuleOfElbow,388,
Articular capsule of glenohumeral joint.l,MESH,Joints,joint,Articular capsule of glenohumeral joint,left,l,,joint.articularCapsuleOfGlenohumeral,185,
Articular capsule of glenohumeral joint.r,MESH,Joints,joint,Articular capsule of glenohumeral joint,right,r,,joint.articularCapsuleOfGlenohumeral,185,
Articular capsule of hip joint.l,MESH,Joints,joint,Articular capsule of hip joint,left,l,,joint.articularCapsuleOfHip,140,
Articular capsule of hip joint.r,MESH,Joints,joint,Articular capsule of hip joint,right,r,,joint.articularCapsuleOfHip,140,
Articular capsule of interphalangeal joint of great toe.l,MESH,Joints,joint,Articular capsule of interphalangeal joint of great toe,left,l,,joint.articularCapsuleOfInterphalangealJointOfGreatToe,48,
Articular capsule of interphalangeal joint of great toe.r,MESH,Joints,joint,Articular capsule of interphalangeal joint of great toe,right,r,,joint.articularCapsuleOfInterphalangealJointOfGreatToe,48,
Articular capsule of knee joint.l,MESH,Joints,joint,Articular capsule of knee joint,left,l,,joint.articularCapsuleOfKnee,373,
Articular capsule of knee joint.r,MESH,Joints,joint,Articular capsule of knee joint,right,r,,joint.articularCapsuleOfKnee,373,
Articular capsule of radiocarpal joint.l,MESH,Joints,joint,Articular capsule of radiocarpal joint,left,l,,joint.articularCapsuleOfRadiocarpal,170,
Articular capsule of radiocarpal joint.r,MESH,Joints,joint,Articular capsule of radiocarpal joint,right,r,,joint.articularCapsuleOfRadiocarpal,170,
Articular capsule of sternoclavicular joint.l,MESH,Joints,joint,Articular capsule of sternoclavicular joint,left,l,,joint.articularCapsuleOfSternoclavicular,14,
Articular capsule of sternoclavicular joint.r,MESH,Joints,joint,Articular capsule of sternoclavicular joint,right,r,,joint.articularCapsuleOfSternoclavicular,14,
Articular capsule of superior tibiofibular joint.l,MESH,Joints,joint,Articular capsule of superior tibiofibular joint,left,l,,joint.articularCapsuleOfSuperiorTibiofibular,28,
Articular capsule of superior tibiofibular joint.r,MESH,Joints,joint,Articular capsule of superior tibiofibular joint,right,r,,joint.articularCapsuleOfSuperiorTibiofibular,28,
Articular capsule of temporomandibular joint.l,MESH,Joints,joint,Articular capsule of temporomandibular joint,left,l,,joint.articularCapsuleOfTemporomandibular,100,
Articular capsule of temporomandibular joint.r,MESH,Joints,joint,Articular capsule of temporomandibular joint,right,r,,joint.articularCapsuleOfTemporomandibular,100,
Articular capsules of distal interphalangeal joints.l,MESH,Joints,joint,Articular capsules of distal interphalangeal joints,left,l,,joint.articularCapsulesOfDistalInterphalangealJoints,188,
Articular capsules of distal interphalangeal joints.r,MESH,Joints,joint,Articular capsules of distal interphalangeal joints,right,r,,joint.articularCapsulesOfDistalInterphalangealJoints,188,
Articular capsules of distal interphalangeal joints of foot.l,MESH,Joints,joint,Articular capsules of distal interphalangeal joints of foot,left,l,,joint.articularCapsulesOfDistalInterphalangealJointsOfFoot,178,
Articular capsules of distal interphalangeal joints of foot.r,MESH,Joints,joint,Articular capsules of distal interphalangeal joints of foot,right,r,,joint.articularCapsulesOfDistalInterphalangealJointsOfFoot,178,
Articular capsules of metacarpophalangeal joints.l,MESH,Joints,joint,Articular capsules of metacarpophalangeal joints,left,l,,joint.articularCapsulesOfMetacarpophalangealJoints,196,
Articular capsules of metacarpophalangeal joints.r,MESH,Joints,joint,Articular capsules of metacarpophalangeal joints,right,r,,joint.articularCapsulesOfMetacarpophalangealJoints,196,
Articular capsules of metatarsophalangeal joints.l,MESH,Joints,joint,Articular capsules of metatarsophalangeal joints,left,l,,joint.articularCapsulesOfMetatarsophalangealJoints,219,
